maturity_year,amount_usd_bn,coupon_pct,note
2025,1.118,7.625,Repaid at maturity Nov-2025; refinanced by $2.35bn Nov-2025 dual-tranche issue
2026,0.00,,No FGN Eurobond matures in 2026
2027,1.50,6.500,
2028,1.25,6.125,
2029,1.25,8.375,
2030,1.00,7.143,
2031,1.70,8.747/9.625,Jan-2031 ~1.0bn + Jun-2031 0.70bn; per-bond split approximate
2032,1.50,7.875,
2033,1.50,7.375,
2034,1.50,10.375,Dec-2024 issue
2038,1.25,7.696,
2047,1.50,7.625,
2049,0.75,9.248,
2051,1.25,8.250,
